# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# VVN      = Minimum opgetreden zicht; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Uurvak waarin VVX is gemeten; 
# 
# STN,YYYYMMDD,  VVN, VVXH
# 
  242,20180101,   34,   20
  242,20180102,   29,   13
  242,20180103,   17,    5
  242,20180104,   36,   22
  242,20180105,   56,   13
  242,20180106,   62,   12
  242,20180107,   75,   15
  242,20180108,   75,    1
  242,20180109,   37,    1
  242,20180110,    1,    1
  242,20180111,    0,   22
  242,20180112,    6,   14
  242,20180113,   10,    7
  242,20180114,   49,   11
  242,20180115,   26,   23
  242,20180116,   56,   24
  242,20180117,   50,    3
  242,20180118,   34,   22
  242,20180119,   42,    2
  242,20180120,   42,   23
  242,20180121,   56,   14
  242,20180122,   22,    7
  242,20180123,   32,    8
  242,20180124,   30,    9
  242,20180125,   56,   16
  242,20180126,   29,   24
  242,20180127,   20,   14
  242,20180128,   50,   24
  242,20180129,   27,    3
  242,20180130,   58,   18
  242,20180131,   11,   13
  242,20180201,   31,   12
  242,20180202,   57,   23
  242,20180203,   62,   23
  242,20180204,   64,    2
  242,20180205,   65,   14
  242,20180206,   56,   16
  242,20180207,   65,   10
  242,20180208,   50,   14
  242,20180209,   18,   11
  242,20180210,   22,   14
  242,20180211,   28,    6
  242,20180212,   59,   24
  242,20180213,   59,   13
  242,20180214,   74,   10
