# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# VVN      = Minimum opgetreden zicht; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Uurvak waarin VVX is gemeten; 
# 
# STN,YYYYMMDD,  VVN, VVXH
# 
  242,20170101,   22,   22
  242,20170102,   58,   17
  242,20170103,   44,    2
  242,20170104,   56,   24
  242,20170105,   60,   12
  242,20170106,   24,    1
  242,20170107,    9,   15
  242,20170108,   46,   22
  242,20170109,    3,    1
  242,20170110,   57,   12
  242,20170111,   33,    2
  242,20170112,   56,   20
  242,20170113,   56,    1
  242,20170114,   49,   13
  242,20170115,   24,   13
  242,20170116,   27,   14
  242,20170117,    3,   10
  242,20170118,   44,   13
  242,20170119,     ,     
  242,20170120,   15,   14
  242,20170121,    3,    5
  242,20170122,     ,     
  242,20170123,    7,   24
  242,20170124,    1,    1
  242,20170125,    2,   18
  242,20170126,   42,   14
  242,20170127,   58,   24
  242,20170128,   59,   12
  242,20170129,   49,   12
  242,20170130,   15,   14
  242,20170131,   50,    2
  242,20170201,   29,   19
  242,20170202,   16,   14
  242,20170203,   38,   12
  242,20170204,   20,   14
  242,20170205,    7,   12
  242,20170206,    9,   12
  242,20170207,   40,   24
  242,20170208,   61,    1
  242,20170209,   56,    2
  242,20170210,   50,    5
  242,20170211,   32,   22
  242,20170212,   33,    2
  242,20170213,   50,   14
  242,20170214,   40,   12
  242,20170215,   48,   23
  242,20170216,    3,    1
  242,20170217,    4,    1
  242,20170218,    2,    3
  242,20170219,   50,   22
  242,20170220,   16,    3
  242,20170221,   36,   19
  242,20170222,   42,   15
  242,20170223,   27,   10
  242,20170224,   56,   24
  242,20170225,   50,    1
  242,20170226,   27,   21
  242,20170227,   25,   18
  242,20170228,   23,   11
  242,20170301,   59,   15
  242,20170302,   57,    3
  242,20170303,   50,   10
  242,20170304,   50,    1
  242,20170305,   58,   13
  242,20170306,   18,   12
  242,20170307,   23,   17
  242,20170308,   27,   22
  242,20170309,    7,    2
  242,20170310,   57,   14
  242,20170311,   60,    1
  242,20170312,   66,   15
  242,20170313,     ,     
  242,20170314,     ,     
  242,20170315,   58,    2
  242,20170316,   31,   12
  242,20170317,   40,    3
  242,20170318,   21,   11
  242,20170319,   24,   13
  242,20170320,   37,   22
  242,20170321,   60,   17
  242,20170322,   61,   20
  242,20170323,   67,   12
  242,20170324,   63,   13
  242,20170325,   61,   16
  242,20170326,    8,   13
  242,20170327,    2,   12
  242,20170328,    2,   13
  242,20170329,   25,   21
  242,20170330,   59,   17
  242,20170331,   59,    9
  242,20170401,   40,   17
  242,20170402,   25,    1
  242,20170403,   41,   13
  242,20170404,   17,   11
  242,20170405,   60,    6
  242,20170406,   58,    6
  242,20170407,   56,   10
  242,20170408,   65,   11
  242,20170409,   43,    1
  242,20170410,   59,    9
  242,20170411,   58,   14
  242,20170412,   28,    1
  242,20170413,   59,    7
  242,20170414,   43,   17
  242,20170415,   36,   18
  242,20170416,   64,   22
  242,20170417,     ,     
  242,20170418,     ,     
  242,20170419,   70,    9
  242,20170420,   56,   10
  242,20170421,   26,    9
  242,20170422,   60,   11
  242,20170423,   60,   19
  242,20170424,   56,   22
  242,20170425,   62,   21
  242,20170426,   67,    7
  242,20170427,   47,   13
  242,20170428,   69,   12
  242,20170429,   70,   16
  242,20170430,   75,   21
  242,20170501,   25,    1
  242,20170502,   35,   16
  242,20170503,   59,   24
  242,20170504,   66,   22
  242,20170505,   63,    3
  242,20170506,   56,   16
  242,20170507,   56,    9
  242,20170508,   56,   24
  242,20170509,     ,     
  242,20170510,     ,     
  242,20170511,   61,    5
  242,20170512,   41,   16
  242,20170513,   57,   16
  242,20170514,   49,   14
  242,20170515,   58,   14
  242,20170516,   67,   17
  242,20170517,   62,   10
  242,20170518,   47,   10
  242,20170519,   50,    8
  242,20170520,   66,   18
  242,20170521,   70,   13
  242,20170522,   64,   17
  242,20170523,   62,   18
  242,20170524,   65,    1
  242,20170525,   65,   13
  242,20170526,   58,   13
  242,20170527,   63,   16
  242,20170528,   61,   10
  242,20170529,   39,   13
  242,20170530,   20,   24
  242,20170531,   65,   15
  242,20170601,   62,   17
  242,20170602,   67,   17
  242,20170603,   56,   10
  242,20170604,   68,   19
  242,20170605,   66,   19
  242,20170606,   57,    2
  242,20170607,   56,   13
  242,20170608,   44,   18
  242,20170609,   47,   12
  242,20170610,   50,   17
  242,20170611,   60,    8
  242,20170612,   61,   24
  242,20170613,   63,   16
  242,20170614,   57,   13
  242,20170615,   58,    1
  242,20170616,   63,    2
  242,20170617,   58,    1
  242,20170618,   45,   14
  242,20170619,    9,   10
  242,20170620,    2,   16
  242,20170621,   70,   12
  242,20170622,   49,    3
  242,20170623,   50,    8
  242,20170624,   34,   16
  242,20170625,   56,    6
  242,20170626,   69,   14
  242,20170627,   70,    8
  242,20170628,   15,    1
  242,20170629,   70,    7
  242,20170630,   50,    8
  242,20170701,   56,   24
  242,20170702,   65,    7
  242,20170703,   63,    1
  242,20170704,   75,   18
  242,20170705,   70,   12
  242,20170706,   65,   15
  242,20170707,   61,   10
  242,20170708,   50,   12
  242,20170709,   68,   10
  242,20170710,   61,   15
  242,20170711,   65,   11
  242,20170712,   65,    1
  242,20170713,   69,   16
  242,20170714,   63,    5
  242,20170715,   59,    9
  242,20170716,   50,   18
  242,20170717,   65,    8
  242,20170718,   65,   10
  242,20170719,   49,   12
  242,20170720,   50,   14
  242,20170721,   70,   18
  242,20170722,   62,   12
  242,20170723,   57,    8
  242,20170724,   65,   11
  242,20170725,   59,    5
  242,20170726,   31,   10
  242,20170727,   65,   13
  242,20170728,   57,    4
  242,20170729,   34,   16
  242,20170730,   50,   15
  242,20170731,   67,    3
  242,20170801,   70,   13
  242,20170802,   57,   16
  242,20170803,   58,    7
  242,20170804,   63,   24
  242,20170805,   70,   10
  242,20170806,   50,   16
  242,20170807,   65,   16
  242,20170808,   56,    7
  242,20170809,   69,   14
  242,20170810,   65,   16
  242,20170811,   70,   17
  242,20170812,   38,    1
  242,20170813,   60,   18
  242,20170814,   70,   15
  242,20170815,   60,    8
  242,20170816,   63,   10
  242,20170817,   50,    4
  242,20170818,   56,   23
  242,20170819,   56,   10
  242,20170820,   62,   24
  242,20170821,   69,   14
  242,20170822,   70,   16
  242,20170823,   50,   11
  242,20170824,   57,   12
  242,20170825,   65,    8
  242,20170826,   60,    1
  242,20170827,   70,   10
  242,20170828,   64,   17
  242,20170829,   44,   16
  242,20170830,   37,   18
  242,20170831,   57,   15
  242,20170901,   65,   13
  242,20170902,   70,   15
  242,20170903,   65,   14
  242,20170904,   59,   15
  242,20170905,   35,   13
  242,20170906,   37,   20
  242,20170907,   60,   12
  242,20170908,   26,   11
  242,20170909,   50,   11
  242,20170910,   36,    9
  242,20170911,   57,    4
  242,20170912,   50,    1
  242,20170913,   20,    2
  242,20170914,   58,    5
  242,20170915,   58,    8
  242,20170916,   61,    5
  242,20170917,   57,   11
  242,20170918,   59,    9
  242,20170919,   29,   13
  242,20170920,   65,   11
  242,20170921,   60,   10
  242,20170922,   36,   14
  242,20170923,   63,   16
  242,20170924,    3,   15
  242,20170925,    1,   16
  242,20170926,    1,   16
  242,20170927,    1,   15
  242,20170928,   17,   15
  242,20170929,    1,   16
  242,20170930,     ,     
  242,20171001,     ,     
  242,20171002,     ,     
  242,20171003,     ,     
  242,20171004,   61,    5
  242,20171005,     ,     
  242,20171006,   44,   24
  242,20171007,   26,    1
  242,20171008,   58,   15
  242,20171009,   50,    1
  242,20171010,   61,    8
  242,20171011,   42,   12
  242,20171012,   57,   15
  242,20171013,   58,    5
  242,20171014,   35,   11
  242,20171015,   26,   15
  242,20171016,   27,   13
  242,20171017,   57,   13
  242,20171018,   49,   15
  242,20171019,    9,   14
  242,20171020,   40,    6
  242,20171021,   56,   15
  242,20171022,   43,    9
  242,20171023,   16,   20
  242,20171024,    9,   11
  242,20171025,   40,   24
  242,20171026,   62,    4
  242,20171027,   58,   22
  242,20171028,   56,    2
  242,20171029,     ,     
  242,20171030,     ,     
  242,20171031,     ,     
  242,20171101,   56,   19
  242,20171102,   62,   20
  242,20171103,   48,   13
  242,20171104,   27,   24
  242,20171105,   65,   15
  242,20171106,   60,   14
  242,20171107,   31,   10
  242,20171108,   33,   15
  242,20171109,   33,   10
  242,20171110,   50,    1
  242,20171111,   50,   14
  242,20171112,   48,   15
  242,20171113,   59,   22
  242,20171114,   22,    4
  242,20171115,    3,    2
  242,20171116,   20,   22
  242,20171117,   61,    1
  242,20171118,     ,     
  242,20171119,   56,    2
  242,20171120,   20,    8
  242,20171121,   18,   22
  242,20171122,   38,   16
  242,20171123,   57,    4
  242,20171124,     ,     
  242,20171125,     ,     
  242,20171126,   57,    2
  242,20171127,   42,    4
  242,20171128,   50,   23
  242,20171129,   60,    1
  242,20171130,   57,   10
  242,20171201,   56,   12
  242,20171202,   57,    4
  242,20171203,   50,    4
  242,20171204,   58,   23
  242,20171205,   50,   14
  242,20171206,   60,   18
  242,20171207,   27,    2
  242,20171208,   44,    4
  242,20171209,   50,   24
  242,20171210,   48,    6
  242,20171211,     ,     
  242,20171212,     ,     
  242,20171213,   16,    2
  242,20171214,   50,   19
  242,20171215,   12,   21
  242,20171216,   58,   11
  242,20171217,   34,   16
  242,20171218,   49,    7
  242,20171219,   37,   10
  242,20171220,    5,   13
  242,20171221,    1,   19
  242,20171222,    0,   23
  242,20171223,   24,    5
  242,20171224,   27,   23
  242,20171225,   56,   15
  242,20171226,   58,    4
  242,20171227,   35,    1
  242,20171228,   27,   21
  242,20171229,   40,    8
  242,20171230,   44,   11
  242,20171231,   25,   19
