# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# VVN      = Minimum opgetreden zicht; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Uurvak waarin VVX is gemeten; 
# 
# STN,YYYYMMDD,  VVN, VVXH
# 
  242,19950901,     ,     
  242,19950902,     ,     
  242,19950903,     ,     
  242,19950904,     ,     
  242,19950905,     ,     
  242,19950906,     ,     
  242,19950907,     ,     
  242,19950908,     ,     
  242,19950909,     ,     
  242,19950910,   57,   18
  242,19950911,     ,     
  242,19950912,     ,     
  242,19950913,     ,     
  242,19950914,     ,     
  242,19950915,     ,     
  242,19950916,   50,   22
  242,19950917,     ,     
  242,19950918,     ,     
  242,19950919,     ,     
  242,19950920,     ,     
  242,19950921,     ,     
  242,19950922,     ,     
  242,19950923,   63,   12
  242,19950924,     ,     
  242,19950925,     ,     
  242,19950926,     ,     
  242,19950927,     ,     
  242,19950928,     ,     
  242,19950929,     ,     
  242,19950930,     ,     
  242,19951001,   10,    1
  242,19951002,     ,     
  242,19951003,     ,     
  242,19951004,     ,     
  242,19951005,     ,     
  242,19951006,     ,     
  242,19951007,     ,     
  242,19951008,   23,   14
  242,19951009,     ,     
  242,19951010,     ,     
  242,19951011,     ,     
  242,19951012,     ,     
  242,19951013,     ,     
  242,19951014,     ,     
  242,19951015,     ,     
  242,19951016,     ,     
  242,19951017,     ,     
  242,19951018,     ,     
  242,19951019,     ,     
